licence_id,licence_cohort_id,text
224,204,"This licence is actually for export to the Channel Islands. (It was issued to the United Kingdom due to an error in the application.)"
988,888,"This licence is actually for export to the Channel Islands. (It was issued to the United Kingdom due to an error in the application.)"
1102,988,"This licence is actually for export to the Channel Islands. (It was issued to the United Kingdom due to an error in the application.)"
3150,2859,"This licence is actually for export to the Channel Islands. (It was issued to the United Kingdom due to an error in the application.)"
3408,3099,"This licence is actually for export to the Channel Islands. (It was issued to the United Kingdom due to an error in the application.)"
6200,5632,"Approval based on the goods act as a safety ""back up system"" should the main instruments in the aircraft fail, and these goods would not enhance the capabilities of the aircraft."
7538,6876,"Approval based on the fact that the goods will be used for demining, for humanitarian use only."
8807,7972,"This licence is actually for export to the Channel Islands. (It was issued to the United Kingdom due to an error in the application.)"
8808,7972,"This licence is actually for export to the Channel Islands. (It was issued to the United Kingdom due to an error in the application.)"
9024,8169,"Approval granted for use by a public safety bureau for the legitimate disposal of explosives."
9166,8295,"Approval based on the fact that the goods are for a civilian end user for use in the oil&gas industry."
9167,8295,"Approval based on the fact that the goods are for a civilian end user for use in tourism."
9229,8353,"Approval based on the fact that the goods are for a civilian end user for use in tourism/hunting."
9230,8353,"Approval based on the fact that the goods are for a civilian end user for use in tourism/hunting."
9231,8353,"Approval based on the fact that the goods are for a civilian end user for use in tourism/hunting."
10128,9185,"Approval granted for small calibre sporting ammunition for the growing sports target shooting market in China. Export is for credible quantities and no military end use is involved."
10429,9447,"Approval based on the fact that these are spare parts for a radar system currently owned by the end user, and judged to not lead to an enhancement in offensive military capabilities."
10936,9903,"Approval granted as these components have a purely civil end use to aid in the detection of flaws in steel instruments."
11086,10034,"Approval based on the fact that these components are for an emergency rescue helicopter for legitimate civil end use only."
12436,11278,"Approval based on the fact that the ammunition and grenades is deactivated equipment used in the two world wars and the end use is for private collection only."
12962,11728,"Approval based on the the fact that the ammunition is sporting grade and for use by the Colombian National Shooting Federation, and will be used for sporting use only."
13044,11798,"Approved based on the fact that the ultimate end user of the equipment will be the European Union Police Mission in Afghanistan (EUPOL)."
13178,11917,"Approval based on the fact that this export is issued for use in Afghanistan for the protection of diplomatic staff."
13584,12300,"Approval based on the fact that this export licence is issued to the International Security Assistance Force (ISAF)."
13905,12593,"Approval based on the fact that this export is issued for use in Afghanistan for the protection of diplomatic staff."
13906,12594,"Approval based on the fact that this export is issued for use in Afghanistan for the protection of diplomatic staff."
14294,12933,"Approval based on the fact that this export licence is issued to the International Security Assistance Force (ISAF)."
14295,12933,"Approval based on the fact that this export licence is issued to the International Security Assistance Force (ISAF)."
14376,13003,"These goods are protective clothing temporarily exported to DRC for UN personnel, so fall within the relevant exemption (a2(1)b) of the Common Position and there is no need to seek prior authority from the UN Sanctions Committee (as per a2(3) of the Common Position)."
14662,13258,"Approval for chemical protection suits to be exported to a manufacturer of safety products and distributor of these suits. This is for civil end use by maintenance staff coming into close contact with chemicals."
15880,14365,"Approval based on the fact that the ammunition is of a low calibre and will be used for sporting purposes only."
18121,16406,"Arms embargo sanctions in place for Afghanistan apply to named members of the Taliban only. All exports for this destination were approved in accordance with the sanctions in place."
18871,17110,"Arms embargo sanctions in place for Afghanistan apply to named members of the Taliban only. All exports for this destination were approved in accordance with the sanctions in place."
20208,18228,"Approval of this licence was agreed after taking into account the temporary nature of the export for demonstration purposes only and attention paid to the level of control to be exercised by the exporter during the period of the export. Goods were to be demonstrated under the control of the exporter. No guarantee given that future licences will be approved. Company were informed that future applications will be considered against the EU and National Consolidated Criteria and the prevailing circumstances."
20228,18247,"Approval of this licence was agreed after taking into account the temporary nature of the export for demonstration purposes only and attention paid to the level of control to be exercised by the exporter during the period of the export. Goods were to be demonstrated under the control of the exporter. No guarantee given that future licences will be approved. Company were informed that future applications will be considered against the EU and National Consolidated Criteria and the prevailing circumstances."
21946,19797,"Arms embargo sanctions in place for Afghanistan apply to those individuals designated under the UNs 'Consolidated List' under UNSCR 1267 designated individuals. All exports for this destination were approved in accordance with the sanctions in place or for use by the International Security Assistance Force (ISAF)/Diplomatic Missions/United Nations/Recognised NGO."
22622,20395,"Arms embargo sanctions in place for Afghanistan apply to those individuals designated under the UNs 'Consolidated List' under UNSCR 1267 designated individuals. All exports for this destination were approved in accordance with the sanctions in place or for use by the International Security Assistance Force (ISAF)/Diplomatic Missions/United Nations/Recognised NGO."
24334,21950,"The goods were approved based on the fact they are for civil end use for a civil end user"
24611,22202,"Arms embargo sanctions in place for Afghanistan apply to those individuals designated under the UNs 'Consolidated List' under UNSCR 1267 designated individuals. All exports for this destination were approved in accordance with the sanctions in place or for use by the International Security Assistance Force (ISAF)/Diplomatic Missions/United Nations/Recognised NGO."
26249,23644,"All exports under this open licence are initially exported to the US to support their FMS Programme and onward export to Taiwan."
26806,24153,"Approval is based on sole end use by a diplomatic mission in Sri Lanka"
27353,24653,"These goods have been approved because they are for civil end use."
27989,25219,"The OIEL is approved on the basis that the goods are to be manufactured in Sri Lanka but are not for end use there."
32593,29431,"These goods have been approved because they are for civil end use."
38527,34798,"A standard individual export licence has been issued to India for ""body armour"" and ""components for body armour"", with a proviso that the items must be returned to the UK once evaluation is completed."
44397,40090,"Approval based on the fact that the ammunition is sporting grade and will be used for competition shooting only."
51147,46295,"HMG exceptionally agreed to export a number of firearms, and associated accessories, to Bahrain for personal sporting use. They are not for use by the Bahraini security services, law enforcement agencies or armed forces."
53049,48057,"HMG exceptionally agreed to export a number of firearms, and associated accessories, to Bahrain for personal sporting use. They are not for use by the Bahraini security services, law enforcement agencies or armed forces."
56916,51601,"Licence granted to a private maritime security company for anti-piracy purposes. Civilian end use."
57076,51731,"Licence granted for the Embassy of an EU Member State."
57113,51765,"HMG exceptionally agreed to export a number of firearms, and associated accessories, to Bahrain for personal sporting use. They are not for use by the Bahraini security services, law enforcement agencies or armed forces."
