licence_group,source
43504,Germany
43505,Ireland
43506,Romania
43506,Bulgaria
43506,Serbia
43507,"United States of America"
43508,Israel
43509,Bulgaria
43509,Romania
43510,"United States of America"
43510,"United States of America"
43511,"United Arab Emirates"
43512,Ukraine
43513,Romania
43514,Ireland
43514,Ireland
43515,China
43515,Hungary
43515,Switzerland
43516,Australia
43517,Canada
43518,"South Africa"
43519,Turkey
43520,Jordan
43521,"Bosnia and Herzegovina"
43522,"Bosnia and Herzegovina"
43523,Jordan
43524,"Bosnia and Herzegovina"
43525,Germany
43526,"Bosnia and Herzegovina"
43527,Pakistan
43528,Jordan
43529,China
43530,"United States of America"
43531,"South Africa"
43532,"South Africa"
43533,Malaysia
43534,India
43535,Jordan
43536,Jordan
43537,Jordan
43538,Jordan
43539,Jordan
43540,Serbia
43541,Thailand
43542,"South Africa"
43543,Ireland
43544,"South Africa"
43544,"South Africa"
43544,"South Africa"
43546,"United States of America"
43547,China
43548,"United States of America"
43549,Thailand
43550,Ireland
43550,Ireland
43550,Ireland
43550,Ireland
43551,"United States of America"
43552,Jordan
43553,Jordan
43554,"South Africa"
43555,"United Arab Emirates"
43556,Israel
43556,Brazil
43557,Ireland
43558,Jordan
43559,Ireland
43560,"United States of America"
43561,Brazil
43562,Jordan
43563,Romania
43564,"United Arab Emirates"
43565,"South Africa"
43566,"United States of America"
43567,Jordan
43568,Ireland
43569,"South Africa"
43570,"Sri Lanka"
43571,"Bosnia and Herzegovina"
43572,Bulgaria
43573,Jordan
43574,Jordan
43575,"United States of America"
43576,"United States of America"
43577,"Korea, South"
43578,"South Africa"
43578,Ireland
43578,Ireland
43578,"United States of America"
43579,"United States of America"
43580,"United States of America"
43581,Iraq
43582,Jordan
43583,Romania
43584,"Sri Lanka"
43585,Serbia
43586,Iraq
43587,Serbia
43588,Brazil
43588,India
43589,Germany
43590,Jordan
43591,"South Africa"
43592,Jordan
43593,Brazil
43594,Jordan
43595,"United States of America"
43596,"United States of America"
43597,Turkey
43598,"United States of America"
43599,"South Africa"
43600,Germany
43601,Brazil
43602,"United States of America"
43603,Romania
43603,Montenegro
43603,Serbia
43603,Kazakhstan
43604,Romania
43604,Kazakhstan
43605,Serbia
43606,"South Africa"
43607,Serbia
43608,"Bosnia and Herzegovina"
43609,"South Africa"
43610,Namibia
43611,Germany
43612,Germany
43613,"South Africa"
43613,"South Africa"
43614,Lebanon
43615,Taiwan
43616,Bulgaria
43617,Ireland
43618,"United States of America"
43619,"Sri Lanka"
43620,"United States of America"
43621,Romania
43622,"South Africa"
43623,"South Africa"
43624,Romania
43625,"South Africa"
43626,"Korea, South"
43627,"Czech Republic"
43628,Romania
43628,Romania
43629,"United States of America"
43630,Ukraine
43631,"South Africa"
43632,"South Africa"
43633,"Non Specific Country"
43634,Germany
43635,"United States of America"
43636,"Bosnia and Herzegovina"
43637,Germany
43638,Turkey
43639,Brazil
43640,Germany
43641,Germany
43642,"South Africa"
43643,Germany
43644,China
43645,"United States of America"
43646,"South Africa"
43647,"South Africa"
43648,Romania
43648,Malaysia
43649,"South Africa"
43650,"United Arab Emirates"
43651,"United Arab Emirates"
43652,"Czech Republic"
43653,Germany
43654,"South Africa"
43655,"South Africa"
43656,"South Africa"
43657,"South Africa"
43658,"South Africa"
43659,"United Arab Emirates"
43660,Bulgaria
43661,"South Africa"
43662,"United Arab Emirates"
43663,Germany
43664,Jordan
43665,Canada
43666,"South Africa"
43667,"South Africa"
43668,"South Africa"
43669,"United Arab Emirates"
43670,Israel
43671,India
43672,Germany
43673,"South Africa"
43674,Israel
43675,"South Africa"
43676,"South Africa"
43677,Germany
43678,"United Arab Emirates"
43679,"South Africa"
43680,"South Africa"
43681,"South Africa"
43682,Romania
43683,"South Africa"
43684,Canada
43685,"South Africa"
43685,"South Africa"
43685,"South Africa"
43686,India
43687,Kuwait
43688,"South Africa"
43689,"South Africa"
43690,"South Africa"
43691,"South Africa"
43691,"South Africa"
43691,"South Africa"
43692,Serbia
43693,"Bosnia and Herzegovina"
43694,Germany
43695,India
43696,Romania
43697,"United States of America"
43698,"South Africa"
43699,Germany
43700,"United States of America"
43701,"South Africa"
43702,"South Africa"
43702,"South Africa"
43703,Brazil
43704,"United States of America"
43705,Bulgaria
43706,"South Africa"
43707,India
43708,"South Africa"
43709,Russia
43710,Germany
43711,"South Africa"
43712,Israel
43713,Serbia
43714,"South Africa"
43715,"South Africa"
43716,China
43716,China
43717,"South Africa"
43717,"South Africa"
43717,"South Africa"
43718,Turkey
43719,"South Africa"
43720,"South Africa"
43720,"South Africa"
43721,Malaysia
43722,"South Africa"
43723,Germany
43723,Germany
43724,India
43725,"United Arab Emirates"
43726,Germany
43727,"Czech Republic"
43728,Jordan
43729,France
43730,Brazil
43731,Netherlands
43732,"South Africa"
43733,"Bosnia and Herzegovina"
43733,Turkey
43734,"South Africa"
43735,Singapore
43736,China
43737,Bulgaria
43737,Romania
43738,"United States of America"
43739,"South Africa"
43740,Turkey
43741,Namibia
43742,"United States of America"
43743,"South Africa"
43744,"South Africa"
43745,"South Africa"
43746,Brazil
43747,Canada
43748,"United States of America"
43749,Belarus
43750,"United Arab Emirates"
43751,Jordan
43752,China
43753,Belarus
43754,Germany
43755,Belarus
43756,"South Africa"
43757,"United States of America"
43758,Jordan
43759,Bulgaria
43760,Belarus
43761,Bulgaria
43762,Belarus
43763,Iraq
43764,Kuwait
43764,"United States of America"
43765,"South Africa"
43766,China
43767,"United States of America"
43768,"United States of America"
43769,Austria
43770,"United States of America"
43771,"South Africa"
43772,"United States of America"
43773,Bulgaria
43773,Croatia
43774,"South Africa"
43775,Romania
43776,"United States of America"
43777,France
43778,Jordan
43779,"South Africa"
43780,Jordan
43781,"United States of America"
43782,"United States of America"
43783,"South Africa"
43784,India
43785,"South Africa"
43786,"United States of America"
43787,"Bosnia and Herzegovina"
43788,"South Africa"
43789,"United States of America"
43790,Brazil
43790,"United States of America"
43791,Germany
43792,Malta
43793,"South Africa"
43794,"Korea, South"
43795,Jordan
43796,Israel
43797,"South Africa"
43798,Serbia
43799,"South Africa"
43800,Ukraine
43801,"South Africa"
43802,"Bosnia and Herzegovina"
43803,Jordan
43804,Canada
43805,Jordan
43806,Australia
43807,"South Africa"
43808,Australia
43809,Australia
43810,Australia
43811,Australia
43812,"South Africa"
43813,"South Africa"
43814,Australia
43815,"United States of America"
43816,"South Africa"
43817,Australia
43818,"South Africa"
43819,"South Africa"
43820,"South Africa"
43821,"South Africa"
43822,Turkey
43823,Turkey
43824,"South Africa"
43825,Bulgaria
43825,Serbia
43825,Romania
43825,"Bosnia and Herzegovina"
43826,Jordan
43827,Ukraine
43828,Ireland
43829,Jordan
43830,"South Africa"
43831,Malta
43832,"South Africa"
43833,Jordan
43834,"Bosnia and Herzegovina"
43835,"United States of America"
43836,Turkey
43837,"South Africa"
43838,"South Africa"
43839,Jordan
43840,Malta
43840,Malta
43840,Malta
43840,Malta
43841,Malta
43841,Malta
43841,Malta
43842,Malta
43842,Malta
43842,Malta
43842,Malta
43842,Malta
43842,Malta
43843,Malta
43844,China
43845,Jordan
43846,Malta
43847,Malta
43847,Malta
43848,Malta
43848,Malta
43848,Malta
43848,Malta
43849,Malta
43849,Malta
43850,Malta
43850,Malta
43851,Malta
43852,Malta
43853,"South Africa"
43854,"South Africa"
43855,Australia
43856,Malta
43857,Malta
43857,Malta
43857,Malta
43858,Malta
43859,Malta
43859,Malta
43859,Malta
43860,Malta
43860,Malta
43861,Malta
43861,Malta
43862,Malta
43863,Malta
43864,Malta
43865,Malta
43866,Malta
43866,Malta
43867,Malta
43867,Malta
43868,Malta
43869,Bulgaria
43870,Canada
43871,Malta
43872,Jordan
43873,"South Africa"
43874,Iraq
43875,Jordan
43876,Malta
43877,Australia
43878,Hungary
43879,"South Africa"
43880,"South Africa"
43881,Jordan
43882,India
43882,Serbia
43883,Malta
43884,Jordan
43885,"Bosnia and Herzegovina"
43886,Canada
43887,Jordan
43888,Malta
43889,"South Africa"
43890,Canada
43891,Djibouti
43891,Egypt
43891,Kenya
43891,Madagascar
43891,Maldives
43891,Mauritius
43891,Seychelles
43891,"South Africa"
43891,"Sri Lanka"
43891,Tanzania
43892,Bulgaria
43893,"South Africa"
43894,"Sri Lanka"
43895,Romania
43895,"Bosnia and Herzegovina"
43896,"South Africa"
43897,Mauritius
43898,Jordan
43899,Jordan
43900,Jordan
43901,Australia
43902,Djibouti
43902,Egypt
43902,Kenya
43902,Madagascar
43902,Maldives
43902,Mauritius
43902,Oman
43902,Seychelles
43902,"South Africa"
43902,Tanzania
43903,"South Africa"
43904,Bulgaria
43905,Jordan
43906,Australia
43907,Malta
43908,Oman
43908,Oman
43909,Mauritius
43910,"Bosnia and Herzegovina"
43911,Jordan
43912,Jordan
43913,Serbia
43914,Mauritius
43915,Jordan
43916,Thailand
43917,Netherlands
43917,"South Africa"
43918,Mauritius
43919,Jordan
43920,"South Africa"
43921,Finland
43922,Malaysia
43923,"Korea, South"
43924,Jordan
43925,Mauritius
43926,Australia
43927,Jordan
43928,"South Africa"
43929,"South Africa"
43930,Belgium
43931,"Sri Lanka"
43932,"United States of America"
43933,Oman
43934,Jordan
43935,Bulgaria
43936,Finland
43937,"South Africa"
43938,"South Africa"
43939,"South Africa"
43940,Jordan
43941,"South Africa"
43942,Bulgaria
43943,Malta
43944,"South Africa"
43945,Jordan
43946,Jordan
43947,Romania
43948,Jordan
43949,"South Africa"
43950,Jordan
43951,"South Africa"
43952,Jordan
43953,Belarus
43954,"South Africa"
43955,"South Africa"
43956,China
43957,Turkey
43958,Jordan
43959,Netherlands
43960,Jordan
43961,Jordan
43962,Romania
43963,"South Africa"
43964,Poland
43965,Ukraine
43965,Serbia
43966,Montenegro
43967,Ukraine
43968,Belgium
43969,Belgium
43970,Turkey
43971,Israel
43972,"Czech Republic"
43973,Israel
43974,Romania
43974,"Bosnia and Herzegovina"
43974,Turkey
43975,"United Arab Emirates"
43976,"Czech Republic"
43976,Montenegro
43977,Ukraine
43978,Israel
43979,Belarus
43980,China
43980,China
43981,Jordan
43982,China
43983,"United States of America"
43984,"United States of America"
43985,Iraq
43987,Jordan
43987,"United Kingdom"
43988,Jordan
43988,"United Kingdom"
43989,Israel
43990,Israel
43991,Israel
43992,Israel
43993,Jordan
43993,"United Kingdom"
43994,Israel
43995,Jordan
43995,"United Kingdom"
43996,Israel
43997,Jordan
43997,"United Kingdom"
43998,Israel
43999,Israel
44000,"United Kingdom"
44001,"United Kingdom"
44002,"United Kingdom"
44003,"United Kingdom"
44004,"United Kingdom"
44005,"United Kingdom"
44006,"United Kingdom"
44007,"United Kingdom"
44008,"United Kingdom"
44009,"United Kingdom"
44010,Taiwan
44011,"Korea, South"
44012,Singapore
44012,Israel
44012,"Czech Republic"
44012,"South Africa"
44013,Italy
44014,Italy
44015,Italy
44016,Italy
44017,Italy
44018,Italy
44019,Italy
44020,Italy
44021,Italy
44022,Italy
44023,Italy
44024,Italy
44025,Italy
44026,"Non Specific Country"
44026,"United States of America"
44027,Sweden
44028,"United Kingdom"
44029,Jordan
44030,Jordan
44031,Jordan
44032,Jordan
44033,Jordan
44034,Jordan
44035,Jordan
44036,Jordan
44037,Jordan
44038,Jordan
44039,Jordan
44040,Jordan
44041,Jordan
44042,"United States of America"
44044,Kuwait
44045,Colombia
44045,"United Arab Emirates"
44046,"Non Specific Country"
44048,"South Africa"
44049,Russia
44051,Ireland
44052,Ireland
44053,"Non Specific Country"
44054,Italy
44054,Malaysia
44055,Italy
44055,Malaysia
44056,Italy
44056,Malaysia
44057,Italy
44057,Malaysia
44058,Italy
44058,Malaysia
44059,Italy
44059,Malaysia
44060,Italy
44060,Malaysia
44061,Italy
44061,Malaysia
44062,Italy
44062,Malaysia
44063,Italy
44063,Malaysia
44064,Italy
44064,Malaysia
44065,Italy
44065,Malaysia
44066,Italy
44066,Malaysia
44067,Italy
44067,Malaysia
44068,Italy
44068,Malaysia
44069,"Non Specific Country"
44070,"South Africa"
44071,"South Africa"
44072,"South Africa"
44073,"South Africa"
44074,"South Africa"
44075,"South Africa"
44076,"South Africa"
44077,"Non Specific Country"
44078,"South Africa"
44079,"South Africa"
44080,"South Africa"
44081,"South Africa"
44082,"South Africa"
44083,Brunei
44084,Brunei
44085,Malaysia
44085,Singapore
44085,Germany
44086,"Non Specific Country"
44087,"Non Specific Country"
44088,Sweden
44089,Angola
44089,Austria
44089,Botswana
44089,Bulgaria
44089,Cameroon
44089,Chad
44089,Denmark
44089,"Equatorial Guinea"
44089,France
44089,Gabon
44089,Germany
44089,Ghana
44089,Greece
44089,"Guinea, Republic of"
44089,Hungary
44089,Israel
44089,Italy
44089,Kenya
44089,Mauritania
44089,Morocco
44089,Mozambique
44089,Namibia
44089,Netherlands
44089,Nigeria
44089,Norway
44089,Poland
44089,Portugal
44089,"Republic of Congo"
44089,Romania
44089,Senegal
44089,Slovenia
44089,"South Africa"
44089,Spain
44089,Switzerland
44089,Tanzania
44089,Turkey
44089,Uganda
44089,Ukraine
44089,"United States of America"
44090,Angola
44090,Austria
44090,Botswana
44090,Bulgaria
44090,Cameroon
44090,Chad
44090,Denmark
44090,"Equatorial Guinea"
44090,France
44090,Gabon
44090,Germany
44090,Ghana
