licence_group,date,rating,count,value,country,refused
1,2008-01-02,ML10,1,3540,Italy,0
2,2008-01-02,ML7,1,3600,"United Arab Emirates",0
3,2008-01-02,ML10,1,2513,Philippines,0
4,2008-01-02,ML10,1,90720,"United States of America",0
5,2008-01-02,ML10,1,95000,"Korea, South",0
6,2008-01-02,ML7,1,14720,Austria,0
7,2008-01-02,ML7,1,3000,Germany,0
8,2008-01-02,5A002,1,10750000,"Hong Kong Special Administrative Region",0
9,2008-01-02,ML2,1,2160,Sweden,0
10,2008-01-02,3C003,1,586733,Taiwan,0
11,2008-01-03,2B006,1,6221,Israel,0
12,2008-01-03,ML9,1,6215,Israel,0
13,2008-01-03,ML4,1,390,Indonesia,0
13,2008-01-03,ML10,1,94050,Indonesia,0
14,2008-01-03,PL9009,1,8000000,Iran,0
15,2008-01-03,5A002,1,293260,Egypt,0
15,2008-01-03,5D002,1,41610,Egypt,0
16,2008-01-03,ML1,1,5103437,"United States of America",0
16,2008-01-03,ML10,1,771,"United States of America",0
17,2008-01-03,ML7,1,18842,Finland,0
17,2008-01-03,ML22,1,78,Finland,0
17,2008-01-03,PL5017,1,0,Finland,0
18,2008-01-03,ML11,1,1351,India,0
19,2008-01-03,ML21,1,6400,Macedonia,0
21,2008-01-03,6A005,1,90000,China,0
22,2008-01-03,ML10,1,15228,Italy,0
23,2008-01-03,"HR AIII",1,1584500,Italy,0
24,2008-01-03,ML6,1,3639,Taiwan,0
25,2008-01-03,5A002,1,19000,Russia,0
25,2008-01-03,5D002,1,0,Russia,0
25,2008-01-03,5E002,1,0,Russia,0
26,2008-01-04,ML10,1,812,Turkey,0
27,2008-01-04,1C010,1,13485,"South Africa",0
28,2008-01-04,9B001,1,10000,India,0
29,2008-01-04,ML11,1,5000,India,0
30,2008-01-04,ML6,1,200000,Jordan,0
31,2008-01-04,ML1,1,3294,"Channel Islands",0
32,2008-01-04,ML10,1,1078,France,0
33,2008-01-04,ML10,1,7575,Sweden,0
34,2008-01-04,ML2,1,233673,"United States of America",0
34,2008-01-04,ML16,1,63498,"United States of America",0
36,2008-01-04,6A002,1,16000,China,0
37,2008-01-04,ML13,1,3720,"Hong Kong Special Administrative Region",0
38,2008-01-04,ML5,1,255000,Colombia,0
39,2008-01-04,PL5017,1,4100,Greece,0
40,2008-01-04,ML4,1,37804,Germany,0
41,2008-01-04,ML1,1,1400,"New Zealand",0
42,2008-01-04,3C003,1,1224487,Taiwan,0
43,2008-01-07,PL8001,1,5500,Canada,0
44,2008-01-07,ML11,1,1696,Israel,0
45,2008-01-07,2B352,1,3846,Singapore,0
46,2008-01-07,2B350,1,430,Indonesia,0
47,2008-01-07,ML5,1,40305,"Korea, South",0
48,2008-01-07,ML5,1,7884,"South Africa",0
49,2008-01-07,1C010,1,2600000,Malaysia,0
50,2008-01-07,ML5,2,2985,Sweden,0
51,2008-01-07,2B350,1,318,China,0
51,2008-01-07,7A103,1,12465,China,0
52,2008-01-07,"End Use",1,,Syria,1
53,2008-01-07,ML1,1,575,Romania,0
53,2008-01-07,ML10,1,289,Romania,0
54,2008-01-07,ML10,1,12397,Taiwan,0
55,2008-01-07,ML6,1,21700,"Guinea, Republic of",0
56,2008-01-08,5A002,1,3900,Canada,0
56,2008-01-08,PL8001,1,0,Canada,0
57,2008-01-08,PL5001,1,77013,Libya,0
58,2008-01-08,5A002,1,3839000,Egypt,0
59,2008-01-08,ML10,1,1384,"United States of America",0
60,2008-01-08,ML5,2,25500,India,0
61,2008-01-08,ML13,1,39038,Chile,0
62,2008-01-08,ML18,1,60000,Belgium,0
62,2008-01-08,ML22,1,100,Belgium,0
63,2008-01-08,ML11,1,3518,Thailand,0
64,2008-01-08,ML1,1,11000,Russia,0
64,2008-01-08,ML3,1,1092,Russia,0
65,2008-01-09,6A001,1,624200,Brazil,0
66,2008-01-09,ML10,1,981,Italy,0
67,2008-01-09,ML11,1,26995,"Czech Republic",0
68,2008-01-09,ML7,1,352500,Singapore,0
68,2008-01-09,ML11,1,142500,Singapore,0
69,2008-01-09,ML5,1,16903,India,0
69,2008-01-09,ML10,2,69233,India,0
69,2008-01-09,ML22,1,157697,India,0
70,2008-01-09,1C350,1,9110,Jordan,0
71,2008-01-09,ML1,1,500,"Channel Islands",0
72,2008-01-09,5A002,1,1600000,"American Samoa",0
72,2008-01-09,5D002,1,400,"American Samoa",0
73,2008-01-09,ML5,1,130500,"United States of America",0
73,2008-01-09,ML10,1,485,"United States of America",0
74,2008-01-09,ML6,1,2599,Germany,0
75,2008-01-09,ML13,1,23820,Colombia,0
76,2008-01-09,1C350,1,25,Kenya,0
77,2008-01-09,7A101,1,614,"United Arab Emirates",0
78,2008-01-09,ML8,1,112165,Japan,0
82,2008-01-09,5A001,1,175000,Norway,0
83,2008-01-09,ML1,1,100,Norway,0
84,2008-01-09,1C350,1,175050,Russia,0
85,2008-01-09,ML7,1,2025,Thailand,0
86,2008-01-10,ML10,1,10000,Canada,0
87,2008-01-10,ML4,1,19000,Afghanistan,0
88,2008-01-10,ML4,1,772616,Italy,0
89,2008-01-10,ML7,1,8000,Italy,0
90,2008-01-10,ML3,1,1809,"Czech Republic",0
90,2008-01-10,ML11,1,44000,"Czech Republic",0
90,2008-01-10,PL5006,1,0,"Czech Republic",0
91,2008-01-10,ML4,1,46230,Kuwait,0
92,2008-01-10,ML5,1,8000,France,0
93,2008-01-10,ML21,1,790400,Slovakia,0
94,2008-01-10,ML8,1,62,Ireland,0
94,2008-01-10,ML22,1,12600,Ireland,0
95,2008-01-10,ML6,1,1125000,Nigeria,0
96,2008-01-10,5A002,2,7116,Israel,0
96,2008-01-10,5D002,1,4996,Israel,0
97,2008-01-10,ML4,1,500400,Australia,0
98,2008-01-10,ML22,1,202000,Algeria,0
99,2008-01-10,ML10,1,1430,Singapore,0
99,2008-01-10,ML11,1,37635,Singapore,0
100,2008-01-10,ML1,1,74000,"United States of America",0
100,2008-01-10,ML10,4,124318,"United States of America",0
100,2008-01-10,ML11,2,103452,"United States of America",0
100,2008-01-10,ML21,1,4000,"United States of America",0
101,2008-01-10,ML10,1,23510,China,0
102,2008-01-10,PL5006,1,540,China,0
103,2008-01-10,ML10,1,3136,Denmark,0
104,2008-01-10,ML4,1,107900,Germany,0
104,2008-01-10,ML11,1,111180,Germany,0
104,2008-01-10,ML22,1,8080,Germany,0
104,2008-01-10,PL5017,1,61518,Germany,0
105,2008-01-10,ML3,1,135,Germany,0
105,2008-01-10,ML4,2,369480,Germany,0
105,2008-01-10,ML11,2,4412,Germany,0
106,2008-01-10,ML4,1,1720,Spain,0
106,2008-01-10,ML10,4,30045,Spain,0
106,2008-01-10,ML11,2,32949,Spain,0
107,2008-01-10,ML4,1,60,Netherlands,0
107,2008-01-10,ML22,1,50080,Netherlands,0
107,2008-01-10,PL5006,1,301,Netherlands,0
108,2008-01-10,ML4,1,1390,Oman,0
109,2008-01-10,ML11,1,3040,Turkey,0
110,2008-01-10,ML11,1,1674,"Saudi Arabia",0
111,2008-01-10,ML5,1,1540,Sweden,0
111,2008-01-10,ML10,1,17256,Sweden,0
112,2008-01-10,ML2,1,5588,Sweden,0
112,2008-01-10,ML11,1,300,Sweden,0
112,2008-01-10,ML15,1,4000,Sweden,0
112,2008-01-10,ML21,1,50,Sweden,0
113,2008-01-10,ML18,1,40937,Vietnam,0
113,2008-01-10,ML21,1,800,Vietnam,0
113,2008-01-10,ML22,1,10,Vietnam,0
113,2008-01-10,PL5017,1,0,Vietnam,0
114,2008-01-10,ML1,1,7500,Switzerland,0
114,2008-01-10,ML16,1,3000,Switzerland,0
115,2008-01-10,ML1,2,2100,"New Zealand",0
115,2008-01-10,ML6,1,232065,"New Zealand",0
116,2008-01-10,ML1,1,36600,Russia,0
117,2008-01-10,ML4,1,60456,"South Africa",0
118,2008-01-10,PL8001,1,4263,"United Arab Emirates",0
119,2008-01-10,ML10,1,22606,"United Arab Emirates",0
120,2008-01-10,ML5,1,7300,India,0
120,2008-01-10,ML11,1,200,India,0
121,2008-01-10,ML5,1,18920,"Korea, South",0
121,2008-01-10,ML6,1,1625,"Korea, South",0
121,2008-01-10,ML15,1,34212,"Korea, South",0
122,2008-01-10,ML10,1,648,Austria,0
123,2008-01-10,ML2,1,159408,Greece,0
124,2008-01-10,2B350,1,3763,Taiwan,0
124,2008-01-10,3C003,1,1811223,Taiwan,0
125,2008-01-10,ML1,1,3500,Taiwan,0
126,2008-01-11,1C450,1,1958,Brazil,0
127,2008-01-11,ML5,1,20500,Brazil,0
128,2008-01-11,ML10,1,3900,Canada,0
129,2008-01-11,ML21,1,3400,Italy,0
130,2008-01-11,ML2,1,16293,Pakistan,0
131,2008-01-11,ML1,1,800000,"United States of America",0
131,2008-01-11,ML6,1,1750,"United States of America",0
131,2008-01-11,ML10,1,50000,"United States of America",0
132,2008-01-11,1A004,1,103,Turkey,0
132,2008-01-11,ML7,1,101,Turkey,0
133,2008-01-11,ML1,1,150000,Turkey,0
133,2008-01-11,ML2,1,191706,Turkey,0
134,2008-01-11,1A004,1,2850,Singapore,0
135,2008-01-11,ML4,1,200,Singapore,0
135,2008-01-11,ML22,1,1,Singapore,0
136,2008-01-11,PL8001,1,593014,Lebanon,0
137,2008-01-11,7B001,1,16545,"Korea, South",0
138,2008-01-11,ML21,1,1000,France,0
138,2008-01-11,ML22,1,1000,France,0
139,2008-01-11,ML3,1,5760,"Trinidad and Tobago",0
140,2008-01-11,ML4,1,940,Germany,0
140,2008-01-11,ML7,1,302000,Germany,0
141,2008-01-11,5A002,1,90000,Uganda,0
142,2008-01-11,6A001,1,92575,Japan,0
143,2008-01-11,ML18,1,13322,Belgium,0
144,2008-01-11,6A002,1,2400,China,0
145,2008-01-11,ML1,1,100,"New Zealand",0
146,2008-01-11,5A002,1,220000,Nigeria,0
147,2008-01-14,ML11,1,56875,Israel,0
148,2008-01-14,5A002,1,5421,Israel,0
148,2008-01-14,5D002,1,5422,Israel,0
149,2008-01-14,ML1,1,54000,Australia,0
150,2008-01-14,ML5,1,19370,Italy,0
151,2008-01-14,2B352,1,14028,Singapore,0
152,2008-01-14,ML5,2,7684,Singapore,0
153,2008-01-14,ML11,1,133200,Egypt,0
153,2008-01-14,ML21,1,3750,Egypt,0
154,2008-01-14,ML5,1,0,Oman,0
154,2008-01-14,ML10,1,5395000,Oman,0
154,2008-01-14,ML15,1,30000,Oman,0
154,2008-01-14,ML17,1,50000,Oman,0
154,2008-01-14,ML21,1,200,Oman,0
154,2008-01-14,ML22,1,1000,Oman,0
155,2008-01-14,ML1,1,300000,Jordan,0
156,2008-01-14,ML5,1,1600,India,0
157,2008-01-14,4A003,1,1394,"Korea, South",0
157,2008-01-14,5A002,1,1550000,"Korea, South",0
157,2008-01-14,5D002,1,25000,"Korea, South",0
158,2008-01-14,ML3,1,22500,"Korea, South",0
159,2008-01-14,0E001,1,13500,"South Africa",0
159,2008-01-14,6A001,1,215000,"South Africa",0
160,2008-01-14,ML3,1,30000,"United Kingdom",0
161,2008-01-14,ML4,1,12000000,Malaysia,0
161,2008-01-14,ML10,1,2345,Malaysia,0
162,2008-01-14,ML5,1,185220,Sweden,0
162,2008-01-14,ML10,1,66228,Sweden,0
163,2008-01-14,ML1,1,300,Sweden,0
164,2008-01-14,ML7,1,6000,Netherlands,0
164,2008-01-14,ML14,1,24011,Netherlands,0
165,2008-01-14,ML2,1,26705,Germany,0
165,2008-01-14,ML11,1,5584,Germany,0
166,2008-01-14,ML10,1,8599,Thailand,0
167,2008-01-14,5D002,1,3000,China,0
168,2008-01-14,ML1,1,500,"New Zealand",0
169,2008-01-14,ML11,1,328868,Norway,0
170,2008-01-14,ML6,1,450000,Nigeria,0
171,2008-01-14,ML10,1,3465,"United States of America",0
172,2008-01-14,ML1,2,540000,"United States of America",0
172,2008-01-14,ML6,1,49302,"United States of America",0
172,2008-01-14,ML10,2,6882,"United States of America",0
172,2008-01-14,ML11,1,21000,"United States of America",0
173,2008-01-15,5A002,1,2110900,Bahrain,0
173,2008-01-15,5D002,1,1100000,Bahrain,0
174,2008-01-15,ML11,1,250000,Brunei,0
175,2008-01-15,ML5,1,30000,Israel,0
176,2008-01-15,ML15,1,5171,Netherlands,0
177,2008-01-15,ML1,1,3300,Italy,0
178,2008-01-15,2B350,1,12948,Singapore,0
179,2008-01-15,2B350,1,1157,Singapore,0
179,2008-01-15,6A003,1,32000,Singapore,0
179,2008-01-15,7A103,1,115000,Singapore,0
180,2008-01-15,ML5,1,696,Singapore,0
180,2008-01-15,ML11,1,5100,Singapore,0
181,2008-01-15,2B350,1,1119,"South Africa",0
181,2008-01-15,2B352,2,3920,"South Africa",0
182,2008-01-15,PL8001,1,36215,"United States of America",0
183,2008-01-15,ML10,3,13010,"United States of America",0
183,2008-01-15,ML11,1,2275,"United States of America",0
184,2008-01-15,2B350,1,8210,"Saudi Arabia",0
